CA-2016-152156,Consumer,41.914
CA-2016-152156,Consumer,219.582
CA-2016-138688,Corporate,6.871
US-2015-108966,Consumer,-383.031
US-2015-108966,Consumer,2.516
CA-2014-115812,Consumer,14.169
CA-2014-115812,Consumer,1.966
CA-2014-115812,Consumer,90.715
CA-2014-115812,Consumer,5.782
CA-2014-115812,Consumer,34.47
CA-2014-115812,Consumer,85.309
CA-2014-115812,Consumer,68.357
CA-2017-114412,Consumer,5.443
CA-2016-161389,Consumer,132.592
US-2015-118983,Home Office,-123.858
US-2015-118983,Home Office,-3.816
CA-2014-105893,Consumer,13.318
CA-2014-167164,Consumer,9.99
CA-2014-143336,Consumer,2.482
CA-2014-143336,Consumer,16.011
CA-2014-143336,Consumer,7.384
CA-2016-137330,Corporate,5.06
CA-2016-137330,Corporate,15.688
US-2017-156909,Consumer,-1.02
CA-2015-106320,Consumer,240.265
CA-2016-121755,Consumer,4.222
CA-2016-121755,Consumer,11.774
US-2015-150630,Consumer,-1665.052
US-2015-150630,Consumer,-7.053
US-2015-150630,Consumer,15.525
US-2015-150630,Consumer,1.102
US-2015-150630,Consumer,9.709
US-2015-150630,Consumer,-5.715
US-2015-150630,Consumer,3.546
CA-2017-107727,Home Office,9.947
CA-2016-117590,Corporate,123.474
CA-2016-117590,Corporate,-147.963
CA-2015-117415,Home Office,35.415
CA-2015-117415,Home Office,-46.976
CA-2015-117415,Home Office,-15.147
CA-2015-117415,Home Office,41.756
CA-2017-120999,Corporate,16.556
CA-2016-101343,Corporate,3.894
CA-2017-139619,Corporate,9.562
CA-2016-118255,Corporate,19.771
CA-2016-118255,Corporate,8.206
CA-2014-146703,Consumer,8.478
CA-2016-169194,Consumer,4.95
CA-2016-169194,Consumer,6.104
CA-2015-115742,Consumer,17.963
CA-2015-115742,Consumer,35.335
CA-2015-115742,Consumer,2.957
CA-2015-115742,Consumer,17.098
CA-2016-105816,Corporate,6.257
CA-2016-105816,Corporate,298.685
CA-2016-111682,Consumer,52.14
CA-2016-111682,Consumer,15.552
CA-2016-111682,Consumer,7.098
CA-2016-111682,Consumer,6.989
CA-2016-111682,Consumer,3.3
CA-2016-111682,Consumer,16.362
CA-2016-111682,Consumer,0.84
CA-2015-135545,Consumer,6.151
CA-2015-135545,Consumer,9.361
CA-2015-135545,Consumer,68.963
CA-2015-135545,Consumer,22.333
US-2015-164175,Home Office,-15.223
CA-2014-106376,Corporate,111.302
CA-2014-106376,Corporate,62.988
CA-2016-119823,Consumer,35.664
CA-2016-106075,Consumer,1.731
CA-2017-114440,Consumer,8.763
US-2015-134026,Consumer,-114.391
US-2015-134026,Consumer,1.213
