CA-2016-152156,Bush Somerset Collection Bookcase,261.96,0.0,41.914
CA-2016-152156,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,731.94,0.0,219.582
CA-2016-138688,Self-Adhesive Address Labels for Typewriters by Universal,14.62,0.0,6.871
US-2015-108966,Bretford CR4500 Series Slim Rectangular Table,957.577,0.45,-383.031
US-2015-108966,Eldon Fold 'N Roll Cart System,22.368,0.2,2.516
CA-2014-115812,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,48.86,0.0,14.169
CA-2014-115812,Newell 322,7.28,0.0,1.966
CA-2014-115812,Mitel 5320 IP Phone VoIP phone,907.152,0.2,90.715
CA-2014-115812,DXL Angle-View Binders with Locking Rings by Samsill,18.504,0.2,5.782
CA-2014-115812,Belkin F5C206VTEL 6 Outlet Surge,114.9,0.0,34.47
CA-2014-115812,Chromcraft Rectangular Conference Tables,1706.184,0.2,85.309
CA-2014-115812,Konftel 250 Conference?phone?- Charcoal black,911.424,0.2,68.357
CA-2017-114412,Xerox 1967,15.552,0.2,5.443
CA-2016-161389,Fellowes PB200 Plastic Comb Binding Machine,407.976,0.2,132.592
US-2015-118983,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter,68.81,0.8,-123.858
US-2015-118983,Storex DuraTech Recycled Plastic Frosted Binders,2.544,0.8,-3.816
CA-2014-105893,Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D,665.88,0.0,13.318
CA-2014-167164,Fellowes Super Stor/Drawer,55.5,0.0,9.99
CA-2014-143336,Newell 341,8.56,0.0,2.482
CA-2014-143336,Cisco SPA 501G IP Phone,213.48,0.2,16.011
CA-2014-143336,Wilson Jones Hanging View Binder, White, 1",22.72,0.2,7.384
CA-2016-137330,Newell 318,19.46,0.0,5.06
CA-2016-137330,Acco Six-Outlet Power Strip, 4' Cord Length,60.34,0.0,15.688
US-2017-156909,Global Deluxe Stacking Chair, Gray,71.372,0.3,-1.02
CA-2015-106320,Bretford CR4500 Series Slim Rectangular Table,1044.63,0.0,240.265
CA-2016-121755,Wilson Jones Active Use Binders,11.648,0.2,4.222
CA-2016-121755,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,90.57,0.0,11.774
US-2015-150630,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,3083.43,0.5,-1665.052
US-2015-150630,Avery Recycled Flexi-View Covers for Binding Systems,9.618,0.7,-7.053
US-2015-150630,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,124.2,0.2,15.525
US-2015-150630,Poly String Tie Envelopes,3.264,0.2,1.102
US-2015-150630,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,86.304,0.2,9.709
US-2015-150630,Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red,6.858,0.7,-5.715
US-2015-150630,Lumber Crayons,15.76,0.2,3.546
CA-2017-107727,Easy-staple paper,29.472,0.2,9.947
CA-2016-117590,GE 30524EE4,1097.544,0.2,123.474
CA-2016-117590,Electrix Architect's Clamp-On Swing Arm Lamp, Black,190.92,0.6,-147.963
CA-2015-117415,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,113.328,0.2,35.415
CA-2015-117415,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,532.399,0.32,-46.976
CA-2015-117415,Global Fabric Manager's Chair, Dark Gray,212.058,0.3,-15.147
CA-2015-117415,Plantronics HL10 Handset Lifter,371.168,0.2,41.756
CA-2017-120999,Panasonic Kx-TS550,147.168,0.2,16.556
CA-2016-101343,Eldon Base for stackable storage shelf, platinum,77.88,0.0,3.894
CA-2017-139619,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers,95.616,0.2,9.562
CA-2016-118255,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack,45.98,0.0,19.771
CA-2016-118255,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,0.0,8.206
CA-2014-146703,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black,211.96,0.0,8.478
CA-2016-169194,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,45.0,0.0,4.95
CA-2016-169194,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,21.8,0.0,6.104
CA-2015-115742,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack,38.22,0.0,17.963
CA-2015-115742,Avery 485,75.18,0.0,35.335
CA-2015-115742,Longer-Life Soft White Bulbs,6.16,0.0,2.957
CA-2015-115742,Global Leather Task Chair, Black,89.99,0.0,17.098
CA-2016-105816,Advantus Push Pins,15.26,0.0,6.257
CA-2016-105816,AT&T CL83451 4-Handset Telephone,1029.95,0.0,298.685
CA-2016-111682,Home/Office Personal File Carts,208.56,0.0,52.14
CA-2016-111682,Xerox 232,32.4,0.0,15.552
CA-2016-111682,Novimex Turbo Task Chair,319.41,0.1,7.098
CA-2016-111682,Array Parchment Paper, Assorted Colors,14.56,0.0,6.989
CA-2016-111682,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,30.0,0.0,3.3
CA-2016-111682,Plastic Binding Combs,48.48,0.2,16.362
CA-2016-111682,Prang Dustless Chalk Sticks,1.68,0.0,0.84
CA-2015-135545,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack,13.98,0.0,6.151
CA-2015-135545,Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11",25.824,0.2,9.361
CA-2015-135545,Xerox 1943,146.73,0.0,68.963
CA-2015-135545,Luxo Economy Swing Arm Lamp,79.76,0.0,22.333
US-2015-164175,Global Value Mid-Back Manager's Chair, Gray,213.115,0.3,-15.223
CA-2014-106376,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige,1113.024,0.2,111.302
CA-2014-106376,netTALK DUO VoIP Telephone Service,167.968,0.2,62.988
