08/11/16,11/11/16,Second Class,261.96,41.914
08/11/16,11/11/16,Second Class,731.94,219.582
12/06/16,16/06/16,Second Class,14.62,6.871
11/10/15,18/10/15,Standard Class,957.577,-383.031
11/10/15,18/10/15,Standard Class,22.368,2.516
09/06/14,14/06/14,Standard Class,48.86,14.169
09/06/14,14/06/14,Standard Class,7.28,1.966
09/06/14,14/06/14,Standard Class,907.152,90.715
09/06/14,14/06/14,Standard Class,18.504,5.782
09/06/14,14/06/14,Standard Class,114.9,34.47
09/06/14,14/06/14,Standard Class,1706.184,85.309
09/06/14,14/06/14,Standard Class,911.424,68.357
15/04/17,20/04/17,Standard Class,15.552,5.443
05/12/16,10/12/16,Standard Class,407.976,132.592
22/11/15,26/11/15,Standard Class,68.81,-123.858
22/11/15,26/11/15,Standard Class,2.544,-3.816
11/11/14,18/11/14,Standard Class,665.88,13.318
13/05/14,15/05/14,Second Class,55.5,9.99
27/08/14,01/09/14,Second Class,8.56,2.482
27/08/14,01/09/14,Second Class,213.48,16.011
27/08/14,01/09/14,Second Class,22.72,7.384
09/12/16,13/12/16,Standard Class,19.46,5.06
09/12/16,13/12/16,Standard Class,60.34,15.688
16/07/17,18/07/17,Second Class,71.372,-1.02
25/09/15,30/09/15,Standard Class,1044.63,240.265
16/01/16,20/01/16,Second Class,11.648,4.222
16/01/16,20/01/16,Second Class,90.57,11.774
17/09/15,21/09/15,Standard Class,3083.43,-1665.052
17/09/15,21/09/15,Standard Class,9.618,-7.053
17/09/15,21/09/15,Standard Class,124.2,15.525
17/09/15,21/09/15,Standard Class,3.264,1.102
17/09/15,21/09/15,Standard Class,86.304,9.709
17/09/15,21/09/15,Standard Class,6.858,-5.715
17/09/15,21/09/15,Standard Class,15.76,3.546
19/10/17,23/10/17,Second Class,29.472,9.947
08/12/16,10/12/16,First Class,1097.544,123.474
08/12/16,10/12/16,First Class,190.92,-147.963
27/12/15,31/12/15,Standard Class,113.328,35.415
27/12/15,31/12/15,Standard Class,532.399,-46.976
27/12/15,31/12/15,Standard Class,212.058,-15.147
27/12/15,31/12/15,Standard Class,371.168,41.756
10/09/17,15/09/17,Standard Class,147.168,16.556
17/07/16,22/07/16,Standard Class,77.88,3.894
19/09/17,23/09/17,Standard Class,95.616,9.562
11/03/16,13/03/16,First Class,45.98,19.771
11/03/16,13/03/16,First Class,17.46,8.206
20/10/14,25/10/14,Second Class,211.96,8.478
20/06/16,25/06/16,Standard Class,45.0,4.95
20/06/16,25/06/16,Standard Class,21.8,6.104
18/04/15,22/04/15,Standard Class,38.22,17.963
18/04/15,22/04/15,Standard Class,75.18,35.335
18/04/15,22/04/15,Standard Class,6.16,2.957
18/04/15,22/04/15,Standard Class,89.99,17.098
11/12/16,17/12/16,Standard Class,15.26,6.257
11/12/16,17/12/16,Standard Class,1029.95,298.685
17/06/16,18/06/16,First Class,208.56,52.14
17/06/16,18/06/16,First Class,32.4,15.552
17/06/16,18/06/16,First Class,319.41,7.098
17/06/16,18/06/16,First Class,14.56,6.989
17/06/16,18/06/16,First Class,30.0,3.3
17/06/16,18/06/16,First Class,48.48,16.362
17/06/16,18/06/16,First Class,1.68,0.84
24/11/15,30/11/15,Standard Class,13.98,6.151
24/11/15,30/11/15,Standard Class,25.824,9.361
24/11/15,30/11/15,Standard Class,146.73,68.963
24/11/15,30/11/15,Standard Class,79.76,22.333
30/04/15,05/05/15,Standard Class,213.115,-15.223
05/12/14,10/12/14,Standard Class,1113.024,111.302
05/12/14,10/12/14,Standard Class,167.968,62.988
04/06/16,06/06/16,First Class,75.88,35.664
18/09/16,23/09/16,Standard Class,4.616,1.731
14/09/17,17/09/17,Second Class,19.05,8.763
26/04/15,02/05/15,Standard Class,831.936,-114.391
26/04/15,02/05/15,Standard Class,97.04,1.213
26/04/15,02/05/15,Standard Class,72.784,-18.196
09/12/17,11/12/17,First Class,1.248,-1.934
09/12/17,11/12/17,First Class,9.708,-5.825
09/12/17,11/12/17,First Class,27.24,2.724
26/11/14,01/12/14,Second Class,19.3,-14.475
12/06/16,15/06/16,First Class,208.16,56.203
12/06/16,15/06/16,First Class,16.74,8.035
12/10/14,16/10/14,Standard Class,14.9,4.172
12/10/14,16/10/14,Standard Class,21.39,6.203
03/09/15,08/09/15,Standard Class,200.984,62.807
13/11/17,16/11/17,First Class,230.376,-48.955
28/05/17,30/05/17,Second Class,301.96,33.216
26/10/17,02/11/17,Standard Class,19.99,6.797
26/10/17,02/11/17,Standard Class,6.16,2.957
05/04/16,10/04/16,Second Class,158.368,13.857
17/09/16,22/09/16,Standard Class,20.1,6.633
17/09/16,22/09/16,Standard Class,73.584,8.278
17/09/16,22/09/16,Standard Class,6.48,3.11
31/01/15,05/02/15,Second Class,12.96,6.221
31/01/15,05/02/15,Second Class,53.34,16.535
31/01/15,05/02/15,Second Class,32.96,16.15
06/11/17,12/11/17,Standard Class,5.682,-3.788
09/11/17,11/11/17,Second Class,96.53,40.543
17/06/17,20/06/17,First Class,51.312,17.959
06/09/16,11/09/16,Standard Class,77.88,22.585
29/08/16,02/09/16,Standard Class,64.624,22.618
29/08/16,02/09/16,Standard Class,95.976,-10.797
29/08/16,02/09/16,Standard Class,1.788,-3.04
01/12/16,04/12/16,Second Class,23.92,11.721
13/11/15,17/11/15,Standard Class,238.896,-26.876
13/11/15,17/11/15,Standard Class,102.36,-3.839
13/11/15,17/11/15,Standard Class,36.882,-25.817
23/11/17,28/11/17,Standard Class,74.112,17.602
23/11/17,28/11/17,Standard Class,27.992,2.099
23/11/17,28/11/17,Standard Class,3.304,1.074
15/10/15,20/10/15,Standard Class,339.96,67.992
25/12/17,30/12/17,Standard Class,41.96,10.91
03/11/16,10/11/16,Standard Class,75.96,22.788
03/11/16,10/11/16,Standard Class,27.24,13.348
25/08/14,27/08/14,Second Class,40.096,14.535
25/08/14,27/08/14,Second Class,4.72,1.652
25/08/14,27/08/14,Second Class,23.976,7.492
25/08/14,27/08/14,Second Class,130.464,44.032
02/03/15,06/03/15,Standard Class,787.53,165.381
05/04/15,10/04/15,Standard Class,157.794,-115.716
12/06/16,15/06/16,First Class,47.04,18.346
12/06/16,15/06/16,First Class,30.84,13.878
12/06/16,15/06/16,First Class,226.56,63.437
12/06/16,15/06/16,First Class,115.02,51.759
12/06/16,15/06/16,First Class,68.04,19.732
26/12/14,28/12/14,Second Class,600.558,-8.579
20/09/14,25/09/14,Standard Class,617.7,-407.682
05/11/17,12/11/17,Standard Class,2.388,-1.831
05/11/17,12/11/17,Standard Class,243.992,30.499
06/11/16,10/11/16,Second Class,81.424,-9.16
06/11/16,10/11/16,Second Class,238.56,26.242
02/02/17,05/02/17,First Class,59.97,-11.994
02/02/17,05/02/17,First Class,78.304,29.364
02/02/17,05/02/17,First Class,21.456,6.973
13/10/16,19/10/16,Standard Class,20.04,9.619
13/10/16,19/10/16,Standard Class,35.44,16.657
13/10/16,19/10/16,Standard Class,11.52,3.456
13/10/16,19/10/16,Standard Class,4.02,1.97
13/10/16,19/10/16,Standard Class,76.176,26.662
13/10/16,19/10/16,Standard Class,65.88,18.446
13/10/16,19/10/16,Standard Class,43.12,20.698
05/09/16,07/09/16,Second Class,82.8,10.35
18/09/17,23/09/17,Standard Class,8.82,2.381
18/09/17,23/09/17,Standard Class,10.86,5.104
18/09/17,23/09/17,Standard Class,143.7,68.976
22/12/17,27/12/17,Standard Class,839.43,218.252
07/09/15,12/09/15,Standard Class,671.93,20.158
22/10/14,28/10/14,Standard Class,93.888,12.91
05/12/16,09/12/16,Standard Class,384.45,103.802
05/12/16,09/12/16,Standard Class,149.97,5.999
05/12/16,09/12/16,Standard Class,1951.84,585.552
05/12/16,09/12/16,Standard Class,171.55,80.629
13/03/16,16/03/16,First Class,157.92,17.766
13/03/16,16/03/16,First Class,203.184,15.239
31/05/15,02/06/15,First Class,58.38,26.271
31/05/15,02/06/15,First Class,105.52,48.539
31/05/15,02/06/15,First Class,80.88,21.029
28/05/15,03/06/15,Standard Class,6.63,1.79
01/03/14,06/03/14,Second Class,457.568,51.476
20/11/16,24/11/16,Standard Class,14.62,6.871
20/11/16,24/11/16,Standard Class,944.93,236.233
11/05/16,12/05/16,First Class,5.98,2.691
28/12/15,31/12/15,Second Class,54.384,1.36
16/11/16,20/11/16,Standard Class,28.4,13.348
07/11/16,11/11/16,Standard Class,27.68,9.688
08/09/14,12/09/14,Standard Class,9.936,2.732
08/09/14,12/09/14,Standard Class,8159.952,-1359.992
08/09/14,12/09/14,Standard Class,275.928,-58.635
08/09/14,12/09/14,Standard Class,1740.06,-24.858
08/09/14,12/09/14,Standard Class,32.064,6.814
08/09/14,12/09/14,Standard Class,177.98,-453.849
08/09/14,12/09/14,Standard Class,143.976,8.999
05/08/14,09/08/14,Standard Class,20.94,9.842
05/08/14,09/08/14,Standard Class,110.96,53.261
05/08/14,09/08/14,Standard Class,340.144,21.259
14/09/14,19/09/14,Standard Class,52.448,-131.12
14/09/14,19/09/14,Standard Class,20.16,6.552
21/04/17,25/04/17,Second Class,97.264,-243.16
21/11/15,23/11/15,Second Class,396.802,-11.337
21/11/15,23/11/15,Second Class,15.88,-3.772
15/12/15,19/12/15,Standard Class,3.28,1.41
05/12/14,09/12/14,Second Class,24.816,1.861
05/12/14,09/12/14,Second Class,408.744,76.639
19/11/14,24/11/14,Second Class,503.96,131.03
19/11/14,24/11/14,Second Class,149.95,41.986
19/11/14,24/11/14,Second Class,29.0,7.25
28/11/16,02/12/16,Standard Class,7.16,3.437
26/08/14,30/08/14,Standard Class,176.8,22.984
16/07/16,22/07/16,Standard Class,37.224,3.722
16/07/16,22/07/16,Standard Class,20.016,6.255
12/10/15,14/10/15,First Class,899.136,112.392
12/10/15,14/10/15,First Class,71.76,20.093
12/10/15,14/10/15,First Class,51.84,24.883
12/10/15,14/10/15,First Class,626.352,46.976
12/10/15,14/10/15,First Class,19.9,6.567
31/10/15,06/11/15,Standard Class,14.28,6.712
21/03/14,25/03/14,Standard Class,7.408,1.204
21/03/14,25/03/14,Standard Class,6.048,1.588
06/11/17,13/11/17,Standard Class,46.26,12.028
06/07/17,13/07/17,Standard Class,2.946,-2.259
06/07/17,13/07/17,Standard Class,16.056,5.82
24/06/17,29/06/17,Standard Class,21.744,6.795
03/08/14,05/08/14,First Class,218.75,-161.875
03/08/14,05/08/14,First Class,2.6,0.292
17/12/17,21/12/17,Second Class,66.284,-178.967
03/06/17,07/06/17,Standard Class,35.168,9.671
09/12/17,14/12/17,Standard Class,444.768,44.477
