,,,,
CA-2016-152156,United States,Henderson,Kentucky,FUR-BO-10001798
CA-2016-152156,United States,Henderson,Kentucky,FUR-CH-10000454
CA-2016-138688,United States,Los Angeles,California,OFF-LA-10000240
US-2015-108966,United States,Fort Lauderdale,Florida,FUR-TA-10000577
US-2015-108966,United States,Fort Lauderdale,Florida,OFF-ST-10000760
CA-2014-115812,United States,Los Angeles,California,FUR-FU-10001487
CA-2014-115812,United States,Los Angeles,California,OFF-AR-10002833
CA-2014-115812,United States,Los Angeles,California,TEC-PH-10002275
CA-2014-115812,United States,Los Angeles,California,OFF-BI-10003910
CA-2014-115812,United States,Los Angeles,California,OFF-AP-10002892
CA-2014-115812,United States,Los Angeles,California,FUR-TA-10001539
CA-2014-115812,United States,Los Angeles,California,TEC-PH-10002033
CA-2017-114412,United States,Concord,North Carolina,OFF-PA-10002365
CA-2016-161389,United States,Seattle,Washington,OFF-BI-10003656
US-2015-118983,United States,Fort Worth,Texas,OFF-AP-10002311
US-2015-118983,United States,Fort Worth,Texas,OFF-BI-10000756
CA-2014-105893,United States,Madison,Wisconsin,OFF-ST-10004186
CA-2014-167164,United States,West Jordan,Utah,OFF-ST-10000107
CA-2014-143336,United States,San Francisco,California,OFF-AR-10003056
CA-2014-143336,United States,San Francisco,California,TEC-PH-10001949
CA-2014-143336,United States,San Francisco,California,OFF-BI-10002215
CA-2016-137330,United States,Fremont,Nebraska,OFF-AR-10000246
CA-2016-137330,United States,Fremont,Nebraska,OFF-AP-10001492
US-2017-156909,United States,Philadelphia,Pennsylvania,FUR-CH-10002774
CA-2015-106320,United States,Orem,Utah,FUR-TA-10000577
CA-2016-121755,United States,Los Angeles,California,OFF-BI-10001634
CA-2016-121755,United States,Los Angeles,California,TEC-AC-10003027
US-2015-150630,United States,Philadelphia,Pennsylvania,FUR-BO-10004834
US-2015-150630,United States,Philadelphia,Pennsylvania,OFF-BI-10000474
US-2015-150630,United States,Philadelphia,Pennsylvania,FUR-FU-10004848
US-2015-150630,United States,Philadelphia,Pennsylvania,OFF-EN-10001509
US-2015-150630,United States,Philadelphia,Pennsylvania,OFF-AR-10004042
US-2015-150630,United States,Philadelphia,Pennsylvania,OFF-BI-10001525
US-2015-150630,United States,Philadelphia,Pennsylvania,OFF-AR-10001683
CA-2017-107727,United States,Houston,Texas,OFF-PA-10000249
CA-2016-117590,United States,Richardson,Texas,TEC-PH-10004977
CA-2016-117590,United States,Richardson,Texas,FUR-FU-10003664
CA-2015-117415,United States,Houston,Texas,OFF-EN-10002986
CA-2015-117415,United States,Houston,Texas,FUR-BO-10002545
CA-2015-117415,United States,Houston,Texas,FUR-CH-10004218
CA-2015-117415,United States,Houston,Texas,TEC-PH-10000486
CA-2017-120999,United States,Naperville,Illinois,TEC-PH-10004093
CA-2016-101343,United States,Los Angeles,California,OFF-ST-10003479
CA-2017-139619,United States,Melbourne,Florida,OFF-ST-10003282
CA-2016-118255,United States,Eagan,Minnesota,TEC-AC-10000171
CA-2016-118255,United States,Eagan,Minnesota,OFF-BI-10003291
CA-2014-146703,United States,Westland,Michigan,OFF-ST-10001713
CA-2016-169194,United States,Dover,Delaware,TEC-AC-10002167
CA-2016-169194,United States,Dover,Delaware,TEC-PH-10003988
CA-2015-115742,United States,New Albany,Indiana,OFF-BI-10004410
CA-2015-115742,United States,New Albany,Indiana,OFF-LA-10002762
CA-2015-115742,United States,New Albany,Indiana,FUR-FU-10001706
CA-2015-115742,United States,New Albany,Indiana,FUR-CH-10003061
CA-2016-105816,United States,New York City,New York,OFF-FA-10000304
CA-2016-105816,United States,New York City,New York,TEC-PH-10002447
CA-2016-111682,United States,Troy,New York,OFF-ST-10000604
