CA-2016-152156,08/11/16,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,0.0,41.914
CA-2016-152156,08/11/16,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,0.0,219.582
CA-2016-138688,12/06/16,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,0.0,6.871
US-2015-108966,11/10/15,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,0.45,-383.031
US-2015-108966,11/10/15,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,0.2,2.516
CA-2014-115812,09/06/14,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,0.0,14.169
CA-2014-115812,09/06/14,OFF-AR-10002833,Office Supplies,Art,Newell 322,0.0,1.966
CA-2014-115812,09/06/14,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,0.2,90.715
CA-2014-115812,09/06/14,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,0.2,5.782
CA-2014-115812,09/06/14,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,0.0,34.47
CA-2014-115812,09/06/14,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,0.2,85.309
CA-2014-115812,09/06/14,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference?phone?- Charcoal black,0.2,68.357
CA-2017-114412,15/04/17,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,0.2,5.443
CA-2016-161389,05/12/16,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,0.2,132.592
US-2015-118983,22/11/15,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter,0.8,-123.858
US-2015-118983,22/11/15,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,0.8,-3.816
CA-2014-105893,11/11/14,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D,0.0,13.318
CA-2014-167164,13/05/14,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,0.0,9.99
CA-2014-143336,27/08/14,OFF-AR-10003056,Office Supplies,Art,Newell 341,0.0,2.482
CA-2014-143336,27/08/14,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,0.2,16.011
CA-2014-143336,27/08/14,OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder, White, 1",0.2,7.384
CA-2016-137330,09/12/16,OFF-AR-10000246,Office Supplies,Art,Newell 318,0.0,5.06
CA-2016-137330,09/12/16,OFF-AP-10001492,Office Supplies,Appliances,Acco Six-Outlet Power Strip, 4' Cord Length,0.0,15.688
US-2017-156909,16/07/17,FUR-CH-10002774,Furniture,Chairs,Global Deluxe Stacking Chair, Gray,0.3,-1.02
CA-2015-106320,25/09/15,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,0.0,240.265
CA-2016-121755,16/01/16,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,0.2,4.222
CA-2016-121755,16/01/16,TEC-AC-10003027,Technology,Accessories,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,0.0,11.774
US-2015-150630,17/09/15,FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,0.5,-1665.052
US-2015-150630,17/09/15,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,0.7,-7.053
US-2015-150630,17/09/15,FUR-FU-10004848,Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,0.2,15.525
US-2015-150630,17/09/15,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,0.2,1.102
US-2015-150630,17/09/15,OFF-AR-10004042,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,0.2,9.709
US-2015-150630,17/09/15,OFF-BI-10001525,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red,0.7,-5.715
US-2015-150630,17/09/15,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,0.2,3.546
CA-2017-107727,19/10/17,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,0.2,9.947
CA-2016-117590,08/12/16,TEC-PH-10004977,Technology,Phones,GE 30524EE4,0.2,123.474
CA-2016-117590,08/12/16,FUR-FU-10003664,Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp, Black,0.6,-147.963
CA-2015-117415,27/12/15,OFF-EN-10002986,Office Supplies,Envelopes,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,0.2,35.415
CA-2015-117415,27/12/15,FUR-BO-10002545,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,0.32,-46.976
CA-2015-117415,27/12/15,FUR-CH-10004218,Furniture,Chairs,Global Fabric Manager's Chair, Dark Gray,0.3,-15.147
CA-2015-117415,27/12/15,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,0.2,41.756
CA-2017-120999,10/09/17,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,0.2,16.556
CA-2016-101343,17/07/16,OFF-ST-10003479,Office Supplies,Storage,Eldon Base for stackable storage shelf, platinum,0.0,3.894
CA-2017-139619,19/09/17,OFF-ST-10003282,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers,0.2,9.562
CA-2016-118255,11/03/16,TEC-AC-10000171,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack,0.0,19.771
CA-2016-118255,11/03/16,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,0.0,8.206
CA-2014-146703,20/10/14,OFF-ST-10001713,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black,0.0,8.478
CA-2016-169194,20/06/16,TEC-AC-10002167,Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,0.0,4.95
CA-2016-169194,20/06/16,TEC-PH-10003988,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,0.0,6.104
CA-2015-115742,18/04/15,OFF-BI-10004410,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack,0.0,17.963
CA-2015-115742,18/04/15,OFF-LA-10002762,Office Supplies,Labels,Avery 485,0.0,35.335
CA-2015-115742,18/04/15,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,0.0,2.957
CA-2015-115742,18/04/15,FUR-CH-10003061,Furniture,Chairs,Global Leather Task Chair, Black,0.0,17.098
CA-2016-105816,11/12/16,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,0.0,6.257
CA-2016-105816,11/12/16,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,0.0,298.685
CA-2016-111682,17/06/16,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,0.0,52.14
